"UniqueID","sold","biddable","startprice","condition","cellular","carrier","color","storage","productline","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
10025,0,"not biddable",149,"used","Cellular","Sprint/T-Mobile","White","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10026,0,"not biddable",238.8,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini 2","contains description",96,4,"not a 99 ending"
10027,1,"not biddable",84.99,"refurbished","Cellular","AT&T","Unknown","Less than 128 GB","iPad 1","contains description",16,15,"99 ending"
10028,0,"not biddable",249.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 4","contains description",101,2,"99 ending"
10029,0,"not biddable",309.99,"new","No cellular","None","White","Less than 128 GB","iPad 4","contains description",92,20,"99 ending"
10030,1,"not biddable",319.95,"refurbished","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","contains description",71,6,"not a 99 ending"
10031,1,"not biddable",185,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",96,2,"not a 99 ending"
10032,1,"not biddable",90,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","contains description",98,2,"not a 99 ending"
10033,0,"not biddable",299.98,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","contains description",100,6,"not a 99 ending"
10034,1,"biddable",49,"new","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10035,0,"not biddable",444.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10036,0,"not biddable",480,"used","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","contains description",77,1,"not a 99 ending"
10037,1,"not biddable",225,"new","Cellular","AT&T","Unknown","Less than 128 GB","iPad 3","contains description",20,1,"not a 99 ending"
10038,0,"not biddable",79,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10039,0,"not biddable",189.85,"refurbished","Cellular","Unknown","White","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10040,0,"not biddable",159.99,"used","No cellular","None","Black","Less than 128 GB","iPad 3","contains description",101,3,"99 ending"
10041,1,"not biddable",199.99,"used","No cellular","None","Black","Less than 128 GB","iPad 3","no description",0,0,"99 ending"
10042,0,"not biddable",115,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","contains description",14,1,"not a 99 ending"
10043,0,"not biddable",289.95,"new","Cellular","Unknown","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10044,0,"not biddable",499.95,"new","No cellular","None","White","Less than 128 GB","iPad Air 1/2","contains description",81,7,"not a 99 ending"
10045,1,"not biddable",199.99,"refurbished","Cellular","Verizon","Black","Less than 128 GB","iPad 2","contains description",98,3,"99 ending"
10046,0,"not biddable",550,"new","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10047,0,"not biddable",209.99,"used","No cellular","None","White","Less than 128 GB","iPad 3","contains description",100,2,"99 ending"
10048,1,"not biddable",185,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",96,2,"not a 99 ending"
10049,1,"biddable",100,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 4","contains description",11,0,"not a 99 ending"
10050,1,"biddable",279.99,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10051,1,"not biddable",614.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10052,0,"not biddable",259,"new","Cellular","AT&T","Unknown","Less than 128 GB","iPad 3","contains description",81,2,"not a 99 ending"
10053,0,"not biddable",240,"refurbished","No cellular","None","White","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10054,0,"not biddable",69.99,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10055,0,"not biddable",398.99,"used","No cellular","None","Unknown","128 GB","iPad Air 1/2","contains description",8,2,"99 ending"
10056,1,"biddable",175,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10057,0,"not biddable",84.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10058,0,"not biddable",269.99,"new","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10059,0,"not biddable",295,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 4","contains description",31,1,"not a 99 ending"
10060,0,"not biddable",210,"used","Cellular","Sprint/T-Mobile","White","Less than 128 GB","iPad mini","contains description",70,3,"not a 99 ending"
10061,1,"biddable",160,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10062,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",100,2,"99 ending"
10063,0,"not biddable",304.89,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad 4","contains description",96,15,"not a 99 ending"
10064,1,"biddable",0.99,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 2","contains description",100,2,"99 ending"
10065,0,"not biddable",195,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10066,0,"not biddable",319,"new","Unknown","Unknown","Gold","Unknown","Unknown","no description",0,0,"not a 99 ending"
10067,0,"not biddable",389.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10068,1,"not biddable",79.99,"refurbished","Cellular","AT&T","Black","Less than 128 GB","iPad 1","contains description",93,4,"99 ending"
10069,0,"not biddable",254.99,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad 4","no description",0,0,"99 ending"
10070,1,"biddable",115,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 3","contains description",101,2,"not a 99 ending"
10071,0,"not biddable",159.95,"used","Cellular","Unknown","Black","Less than 128 GB","iPad 2","contains description",98,3,"not a 99 ending"
10072,0,"not biddable",279.99,"used","Unknown","Unknown","Unknown","Unknown","iPad Air 1/2","contains description",86,3,"99 ending"
10073,1,"biddable",99.99,"refurbished","Cellular","AT&T","Black","Less than 128 GB","iPad 2","no description",0,0,"99 ending"
10074,1,"biddable",75,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10075,1,"biddable",135,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10076,1,"not biddable",130,"used","No cellular","None","Black","Less than 128 GB","iPad mini","contains description",93,6,"not a 99 ending"
10077,0,"not biddable",119.95,"used","No cellular","None","Black","Less than 128 GB","iPad 2","contains description",98,3,"not a 99 ending"
10078,1,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10079,0,"not biddable",269.94,"new","No cellular","None","Black","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10080,1,"not biddable",380,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10081,1,"biddable",0.99,"used","No cellular","None","White","Less than 128 GB","iPad 2","no description",0,0,"99 ending"
10082,0,"not biddable",169.95,"new","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10083,0,"not biddable",319.85,"refurbished","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10084,0,"not biddable",329.99,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10085,0,"not biddable",249.95,"new","Cellular","Verizon","White","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10086,1,"not biddable",130,"used","No cellular","None","Black","Less than 128 GB","iPad mini","contains description",93,6,"not a 99 ending"
10087,0,"not biddable",550,"new","No cellular","None","Gold","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10088,0,"not biddable",169.98,"refurbished","Cellular","AT&T","Black","Less than 128 GB","iPad 2","contains description",100,6,"not a 99 ending"
10089,1,"not biddable",149.99,"refurbished","No cellular","None","Black","Less than 128 GB","iPad 2","contains description",54,3,"99 ending"
10090,1,"biddable",305,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10091,1,"biddable",0.01,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10092,1,"biddable",450,"new","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10093,0,"not biddable",194.29,"refurbished","No cellular","None","White","Less than 128 GB","iPad mini","contains description",96,15,"not a 99 ending"
10094,0,"not biddable",193.15,"used","Unknown","Unknown","Unknown","Unknown","Unknown","no description",0,0,"not a 99 ending"
10095,1,"biddable",62,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10096,0,"not biddable",489.99,"new","No cellular","None","Unknown","Less than 128 GB","iPad Air 1/2","contains description",86,5,"99 ending"
10097,1,"biddable",99,"used","No cellular","None","White","Less than 128 GB","iPad 3","no description",0,0,"99 ending"
10098,1,"biddable",45,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",25,1,"not a 99 ending"
10099,1,"not biddable",134.95,"used","No cellular","None","Black","Less than 128 GB","iPad 2","contains description",32,5,"not a 99 ending"
10100,0,"not biddable",199.99,"used","No cellular","None","Black","Less than 128 GB","iPad 3","no description",0,0,"99 ending"
10101,1,"not biddable",264.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini 2","contains description",99,4,"99 ending"
10102,0,"not biddable",349,"refurbished","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10103,0,"biddable",160,"used","No cellular","None","Black","Less than 128 GB","iPad mini 2","contains description",37,1,"not a 99 ending"
10104,0,"not biddable",295,"used","Cellular","Unknown","White","Less than 128 GB","iPad 4","contains description",95,4,"not a 99 ending"
10105,1,"not biddable",199,"refurbished","No cellular","None","White","Less than 128 GB","iPad 4","no description",0,0,"99 ending"
10106,0,"not biddable",279.95,"new","No cellular","None","Unknown","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10107,0,"not biddable",149.95,"new","Cellular","Unknown","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10108,1,"biddable",290,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10109,1,"not biddable",339.99,"new","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10110,0,"not biddable",99,"refurbished","Cellular","AT&T","Black","Less than 128 GB","iPad 1","contains description",98,3,"99 ending"
10111,0,"not biddable",320,"used","Cellular","Unknown","White","Less than 128 GB","iPad 4","contains description",98,2,"not a 99 ending"
10112,0,"biddable",255,"refurbished","Cellular","Unknown","Black","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10113,1,"biddable",114.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini","contains description",98,6,"99 ending"
10114,1,"biddable",250,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","contains description",100,11,"not a 99 ending"
10115,0,"not biddable",250,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",21,1,"not a 99 ending"
10116,0,"not biddable",549.99,"used","Cellular","Verizon","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10117,1,"not biddable",215,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10118,1,"biddable",325,"used","No cellular","None","Space Gray","128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10119,1,"biddable",199.99,"new","Cellular","Sprint/T-Mobile","White","Less than 128 GB","iPad Air 1/2","contains description",43,1,"99 ending"
10120,0,"biddable",250,"used","Cellular","Unknown","White","Less than 128 GB","iPad mini3","no description",0,0,"not a 99 ending"
10121,0,"not biddable",249.99,"refurbished","Cellular","Verizon","Black","Less than 128 GB","iPad 4","contains description",98,4,"99 ending"
10122,0,"not biddable",299.99,"new","Cellular","Unknown","White","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10123,1,"biddable",159.99,"new","No cellular","None","White","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10124,1,"biddable",9.99,"used","No cellular","None","White","Less than 128 GB","iPad 3","no description",0,0,"99 ending"
10125,1,"biddable",125,"used","No cellular","None","Black","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10126,0,"not biddable",344,"used","No cellular","None","Unknown","Less than 128 GB","iPad 4","contains description",31,1,"not a 99 ending"
10127,0,"biddable",100,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10128,0,"not biddable",250,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",21,1,"not a 99 ending"
10129,0,"not biddable",175,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",14,0,"not a 99 ending"
10130,1,"biddable",100,"new","Unknown","Unknown","Unknown","Unknown","Unknown","contains description",33,4,"not a 99 ending"
10131,1,"not biddable",150,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10132,0,"not biddable",119.99,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 2","contains description",97,3,"99 ending"
10133,0,"not biddable",225,"used","Cellular","Verizon","Black","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10134,1,"biddable",49.49,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10135,0,"biddable",225,"refurbished","Cellular","AT&T","Black","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10136,0,"not biddable",389.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2","contains description",96,20,"99 ending"
10137,1,"biddable",255,"used","No cellular","None","Black","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10138,1,"biddable",25,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad 1","contains description",105,4,"not a 99 ending"
10139,0,"not biddable",274.99,"refurbished","Cellular","AT&T","Space Gray","Less than 128 GB","iPad Air 1/2","contains description",102,12,"99 ending"
10140,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10141,1,"biddable",185,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",61,3,"not a 99 ending"
10142,1,"biddable",250,"used","No cellular","None","Black","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10143,1,"biddable",99,"used","Cellular","Sprint/T-Mobile","Space Gray","Less than 128 GB","iPad mini 2","no description",0,0,"99 ending"
10144,0,"not biddable",215,"used","Cellular","AT&T","White","Less than 128 GB","iPad 3","contains description",93,4,"not a 99 ending"
10145,1,"biddable",58,"used","Unknown","Unknown","Black","Unknown","Unknown","no description",0,0,"not a 99 ending"
10146,0,"not biddable",187.5,"used","No cellular","None","Black","Less than 128 GB","iPad 3","contains description",101,4,"not a 99 ending"
10147,1,"not biddable",189.99,"used","No cellular","None","White","Less than 128 GB","iPad 3","contains description",44,2,"99 ending"
10148,0,"not biddable",229,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10149,0,"not biddable",159.93,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 2","contains description",97,2,"not a 99 ending"
10150,1,"biddable",89.95,"used","No cellular","None","Black","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10151,1,"biddable",60,"refurbished","No cellular","None","White","Less than 128 GB","iPad 2","contains description",99,6,"not a 99 ending"
10152,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","contains description",95,7,"99 ending"
10153,0,"not biddable",639.99,"refurbished","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10154,1,"biddable",40,"used","No cellular","None","Unknown","Less than 128 GB","iPad 1","contains description",75,0,"not a 99 ending"
10155,0,"not biddable",284.99,"used","Unknown","Unknown","White","Less than 128 GB","iPad mini3","contains description",40,1,"99 ending"
10156,1,"biddable",29.99,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10157,1,"biddable",49.99,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","no description",0,0,"99 ending"
10158,0,"not biddable",139.98,"used","No cellular","None","Black","Less than 128 GB","iPad 2","contains description",97,4,"not a 99 ending"
10159,1,"not biddable",199,"used","Unknown","Unknown","Unknown","Unknown","iPad mini","no description",0,0,"99 ending"
10160,0,"not biddable",294.99,"refurbished","No cellular","None","White","Less than 128 GB","iPad Air 1/2","contains description",95,5,"99 ending"
10161,1,"not biddable",499,"new","Cellular","Sprint/T-Mobile","White","128 GB","iPad mini 2","no description",0,0,"99 ending"
10162,1,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10163,0,"not biddable",299.99,"used","Cellular","AT&T","Space Gray","Less than 128 GB","iPad Air 1/2","no description",0,0,"99 ending"
10164,0,"not biddable",270,"used","Cellular","Unknown","White","Less than 128 GB","iPad 4","contains description",95,4,"not a 99 ending"
10165,1,"biddable",80,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","contains description",33,1,"not a 99 ending"
10166,1,"biddable",0.01,"refurbished","No cellular","None","Unknown","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10167,0,"not biddable",399.99,"used","No cellular","None","White","Less than 128 GB","iPad Air 1/2","contains description",40,30,"99 ending"
10168,0,"not biddable",279.95,"new","No cellular","None","Unknown","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10169,1,"biddable",50,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10170,0,"not biddable",329,"new","No cellular","None","Black","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10171,0,"not biddable",187.5,"used","No cellular","None","Black","Less than 128 GB","iPad 3","contains description",100,4,"not a 99 ending"
10172,0,"not biddable",269,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10173,1,"biddable",50,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10174,1,"biddable",0.99,"used","No cellular","None","White","Less than 128 GB","iPad mini","contains description",55,1,"99 ending"
10175,1,"biddable",65,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10176,1,"biddable",89.99,"used","No cellular","None","Black","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10177,1,"biddable",149,"new","No cellular","None","White","Less than 128 GB","iPad mini3","no description",0,0,"not a 99 ending"
10178,1,"not biddable",184.95,"used","Cellular","Verizon","Black","Less than 128 GB","iPad 3","contains description",99,12,"not a 99 ending"
10179,1,"biddable",99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini","contains description",19,3,"99 ending"
10180,1,"biddable",225,"used","Cellular","Verizon","White","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10181,1,"biddable",200,"used","Cellular","AT&T","Unknown","Less than 128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10182,0,"biddable",100,"used","Cellular","AT&T","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10183,1,"not biddable",319,"new","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","contains description",78,1,"not a 99 ending"
10184,0,"not biddable",15,"used","No cellular","None","Black","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10185,1,"biddable",99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","no description",0,0,"99 ending"
10186,1,"biddable",99.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10187,1,"biddable",174.95,"used","No cellular","None","Unknown","Less than 128 GB","iPad 4","no description",0,0,"not a 99 ending"
10188,0,"not biddable",299,"used","Cellular","Unknown","White","Less than 128 GB","iPad 4","contains description",93,4,"99 ending"
10189,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",54,0,"99 ending"
10190,1,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10191,0,"not biddable",215,"used","Cellular","Verizon","Black","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10192,1,"biddable",62,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10193,0,"biddable",250,"refurbished","Cellular","Unknown","Black","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10194,1,"biddable",100,"used","Cellular","Verizon","Unknown","Less than 128 GB","iPad 3","contains description",99,0,"not a 99 ending"
10195,0,"biddable",200,"used","Cellular","Unknown","Unknown","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10196,1,"biddable",99.99,"used","No cellular","None","White","Less than 128 GB","iPad mini","contains description",58,2,"99 ending"
10197,0,"not biddable",404.99,"new","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","contains description",13,0,"99 ending"
10198,1,"biddable",0.99,"used","Cellular","Unknown","Unknown","Less than 128 GB","iPad Air 1/2","contains description",87,8,"99 ending"
10199,0,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","Unknown","contains description",54,2,"not a 99 ending"
10200,0,"not biddable",89.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad mini","no description",0,0,"99 ending"
10201,1,"biddable",49.99,"used","Unknown","Unknown","Black","Unknown","Unknown","contains description",46,2,"99 ending"
10202,1,"biddable",100,"used","Cellular","Verizon","Black","Less than 128 GB","iPad mini","no description",0,0,"not a 99 ending"
10203,1,"biddable",79.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 4","contains description",98,3,"99 ending"
10204,0,"not biddable",309.99,"used","Unknown","Unknown","Unknown","Unknown","iPad 4","contains description",93,4,"99 ending"
10205,1,"not biddable",415,"used","Cellular","Unknown","Unknown","Less than 128 GB","iPad Air 1/2","contains description",80,5,"not a 99 ending"
10206,0,"not biddable",200,"used","Cellular","AT&T","White","Less than 128 GB","iPad 2","no description",0,0,"not a 99 ending"
10207,0,"not biddable",269,"used","No cellular","None","Unknown","Less than 128 GB","iPad mini 2","no description",0,0,"not a 99 ending"
10208,1,"biddable",184.99,"used","No cellular","None","Space Gray","Less than 128 GB","iPad Air 1/2","contains description",50,2,"99 ending"
10209,1,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10210,1,"biddable",165,"used","No cellular","None","White","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10211,1,"biddable",25,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown","no description",0,0,"not a 99 ending"
10212,0,"not biddable",299,"used","Cellular","Unknown","White","Less than 128 GB","iPad 4","contains description",93,4,"99 ending"
10213,1,"biddable",99,"used","No cellular","None","White","Less than 128 GB","iPad 2","no description",0,0,"99 ending"
10214,1,"biddable",99,"used","No cellular","None","Black","Less than 128 GB","iPad 3","no description",0,0,"99 ending"
10215,0,"not biddable",374.95,"used","No cellular","None","White","128 GB","iPad Air 1/2","no description",0,0,"not a 99 ending"
10216,0,"not biddable",189,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",101,3,"not a 99 ending"
10217,0,"not biddable",75,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10218,1,"not biddable",175,"used","No cellular","None","Unknown","Less than 128 GB","iPad 3","no description",0,0,"not a 99 ending"
10219,0,"not biddable",480,"refurbished","No cellular","None","Gold","Less than 128 GB","iPad Air 1/2","contains description",100,2,"not a 99 ending"
10220,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",25,0,"99 ending"
10221,0,"not biddable",465.99,"refurbished","No cellular","None","Black","Less than 128 GB","iPad Air 1/2","contains description",89,6,"99 ending"
10222,0,"not biddable",399.99,"used","No cellular","None","Unknown","128 GB","iPad 4","contains description",31,1,"99 ending"
10223,1,"biddable",0.99,"used","No cellular","None","Unknown","Less than 128 GB","iPad 2","contains description",25,0,"99 ending"
10224,1,"biddable",50,"used","No cellular","None","Black","Less than 128 GB","iPad 1","no description",0,0,"not a 99 ending"
10225,1,"biddable",70,"used","No cellular","None","Black","Less than 128 GB","Unknown","contains description",20,1,"not a 99 ending"
10226,1,"biddable",1,"used","Cellular","Verizon","Black","Less than 128 GB","iPad 1","contains description",98,4,"not a 99 ending"
10227,1,"biddable",299.99,"new","No cellular","None","Space Gray","Less than 128 GB","iPad mini3","contains description",42,2,"99 ending"
