"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"not biddable",250,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,10115,"no description",21,1,"not a 99 ending"
"not biddable",549.99,"used","Cellular","Verizon","Space Gray","16/32/64 GB","iPad Air 1/2",0,10116,"contains description",0,0,"99 ending"
"not biddable",215,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,10117,"contains description",0,0,"not a 99 ending"
"biddable",325,"used","No cellular","None","Space Gray","128 GB","iPad Air 1/2",1,10118,"contains description",0,0,"not a 99 ending"
"biddable",199.99,"new","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",1,10119,"no description",43,1,"99 ending"
"biddable",250,"used","Cellular","Unknown","White","16/32/64 GB","iPad mini3",0,10120,"contains description",0,0,"not a 99 ending"
"not biddable",249.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 4",0,10121,"no description",98,4,"99 ending"
"not biddable",299.99,"new","Cellular","Unknown","White","16/32/64 GB","iPad mini",0,10122,"contains description",0,0,"99 ending"
"biddable",159.99,"new","No cellular","None","White","16/32/64 GB","iPad mini",1,10123,"contains description",0,0,"99 ending"
"biddable",9.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10124,"contains description",0,0,"99 ending"
"biddable",125,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10125,"contains description",0,0,"not a 99 ending"
"not biddable",344,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10126,"no description",31,1,"not a 99 ending"
"biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10127,"contains description",0,0,"not a 99 ending"
"not biddable",250,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,10128,"no description",21,1,"not a 99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10129,"no description",14,0,"not a 99 ending"
"biddable",100,"new","Unknown","Unknown","Unknown","Unknown","Unknown",1,10130,"no description",33,4,"not a 99 ending"
"not biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10131,"contains description",0,0,"not a 99 ending"
"not biddable",119.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",0,10132,"no description",97,3,"99 ending"
"not biddable",225,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",0,10133,"contains description",0,0,"not a 99 ending"
"biddable",49.49,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10134,"contains description",0,0,"not a 99 ending"
"biddable",225,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 4",0,10135,"contains description",0,0,"not a 99 ending"
"not biddable",389.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,10136,"no description",96,20,"99 ending"
"biddable",255,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10137,"contains description",0,0,"not a 99 ending"
"biddable",25,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10138,"no description",105,4,"not a 99 ending"
"not biddable",274.99,"refurbished","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10139,"no description",102,12,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10140,"contains description",0,0,"99 ending"
"biddable",185,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10141,"no description",61,3,"not a 99 ending"
"biddable",250,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10142,"contains description",0,0,"not a 99 ending"
"biddable",99,"used","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad mini 2",1,10143,"contains description",0,0,"99 ending"
"not biddable",215,"used","Cellular","AT&T","White","16/32/64 GB","iPad 3",0,10144,"no description",93,4,"not a 99 ending"
"biddable",58,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10145,"contains description",0,0,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10146,"no description",101,4,"not a 99 ending"
"not biddable",189.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10147,"no description",44,2,"99 ending"
"not biddable",229,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10148,"contains description",0,0,"not a 99 ending"
"not biddable",159.93,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",0,10149,"no description",97,2,"not a 99 ending"
"biddable",89.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10150,"contains description",0,0,"not a 99 ending"
"biddable",60,"refurbished","No cellular","None","White","16/32/64 GB","iPad 2",1,10151,"no description",99,6,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10152,"no description",95,7,"99 ending"
"not biddable",639.99,"refurbished","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,10153,"contains description",0,0,"99 ending"
"biddable",40,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10154,"no description",75,0,"not a 99 ending"
"not biddable",284.99,"used","Unknown","Unknown","White","16/32/64 GB","iPad mini3",0,10155,"no description",40,1,"99 ending"
"biddable",29.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10156,"contains description",0,0,"99 ending"
"biddable",49.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10157,"contains description",0,0,"99 ending"
"not biddable",139.98,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10158,"no description",97,4,"not a 99 ending"
"not biddable",199,"used","Unknown","Unknown","Unknown","Unknown","iPad mini",1,10159,"contains description",0,0,"99 ending"
"not biddable",294.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10160,"no description",95,5,"99 ending"
"not biddable",499,"new","Cellular","Sprint/T-Mobile","White","128 GB","iPad mini 2",1,10161,"contains description",0,0,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10162,"contains description",0,0,"not a 99 ending"
"not biddable",299.99,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10163,"contains description",0,0,"99 ending"
"not biddable",270,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10164,"no description",95,4,"not a 99 ending"
"biddable",80,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10165,"no description",33,1,"not a 99 ending"
"biddable",0.01,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10166,"contains description",0,0,"not a 99 ending"
"not biddable",399.99,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10167,"no description",40,30,"99 ending"
"not biddable",279.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10168,"contains description",0,0,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10169,"contains description",0,0,"not a 99 ending"
"not biddable",329,"new","No cellular","None","Black","16/32/64 GB","iPad mini 2",0,10170,"contains description",0,0,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10171,"no description",100,4,"not a 99 ending"
"not biddable",269,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10172,"contains description",0,0,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,10173,"contains description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,10174,"no description",55,1,"99 ending"
"biddable",65,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10175,"contains description",0,0,"not a 99 ending"
"biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10176,"contains description",0,0,"99 ending"
"biddable",149,"new","No cellular","None","White","16/32/64 GB","iPad mini3",1,10177,"contains description",0,0,"not a 99 ending"
"not biddable",184.95,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10178,"no description",99,12,"not a 99 ending"
"biddable",99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10179,"no description",19,3,"99 ending"
"biddable",225,"used","Cellular","Verizon","White","16/32/64 GB","iPad mini 2",1,10180,"contains description",0,0,"not a 99 ending"
"biddable",200,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",1,10181,"contains description",0,0,"not a 99 ending"
"biddable",100,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10182,"contains description",0,0,"not a 99 ending"
"not biddable",319,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10183,"no description",78,1,"not a 99 ending"
"not biddable",15,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10184,"contains description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10185,"contains description",0,0,"99 ending"
"biddable",99.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10186,"contains description",0,0,"99 ending"
"biddable",174.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10187,"contains description",0,0,"not a 99 ending"
"not biddable",299,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10188,"no description",93,4,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10189,"no description",54,0,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10190,"contains description",0,0,"not a 99 ending"
"not biddable",215,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10191,"contains description",0,0,"not a 99 ending"
"biddable",62,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10192,"contains description",0,0,"not a 99 ending"
"biddable",250,"refurbished","Cellular","Unknown","Black","16/32/64 GB","iPad 3",0,10193,"contains description",0,0,"not a 99 ending"
"biddable",100,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 3",1,10194,"no description",99,0,"not a 99 ending"
"biddable",200,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad 3",0,10195,"contains description",0,0,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,10196,"no description",58,2,"99 ending"
"not biddable",404.99,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10197,"no description",13,0,"99 ending"
"biddable",0.99,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,10198,"no description",87,8,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,10199,"no description",54,2,"not a 99 ending"
"not biddable",89.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10200,"contains description",0,0,"99 ending"
"biddable",49.99,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10201,"no description",46,2,"99 ending"
"biddable",100,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",1,10202,"contains description",0,0,"not a 99 ending"
"biddable",79.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10203,"no description",98,3,"99 ending"
"not biddable",309.99,"used","Unknown","Unknown","Unknown","Unknown","iPad 4",0,10204,"no description",93,4,"99 ending"
"not biddable",415,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,10205,"no description",80,5,"not a 99 ending"
"not biddable",200,"used","Cellular","AT&T","White","16/32/64 GB","iPad 2",0,10206,"contains description",0,0,"not a 99 ending"
"not biddable",269,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10207,"contains description",0,0,"not a 99 ending"
"biddable",184.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10208,"no description",50,2,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10209,"contains description",0,0,"not a 99 ending"
"biddable",165,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10210,"contains description",0,0,"not a 99 ending"
"biddable",25,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",1,10211,"contains description",0,0,"not a 99 ending"
"not biddable",299,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10212,"no description",93,4,"99 ending"
"biddable",99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10213,"contains description",0,0,"99 ending"
"biddable",99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10214,"contains description",0,0,"99 ending"
"not biddable",374.95,"used","No cellular","None","White","128 GB","iPad Air 1/2",0,10215,"contains description",0,0,"not a 99 ending"
"not biddable",189,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10216,"no description",101,3,"not a 99 ending"
"not biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10217,"contains description",0,0,"not a 99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10218,"contains description",0,0,"not a 99 ending"
"not biddable",480,"refurbished","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,10219,"no description",100,2,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10220,"no description",25,0,"99 ending"
"not biddable",465.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10221,"no description",89,6,"99 ending"
"not biddable",399.99,"used","No cellular","None","Unknown","128 GB","iPad 4",0,10222,"no description",31,1,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10223,"no description",25,0,"99 ending"
