earn,height,gender,race,ed,age
85892,74.16,male,white,12,28
59234,61.92,female,white,13,45
8408,64.84,female,white,12,63
63550,69.09,male,white,12,70
21096,66.08,female,white,16,52
1996,60.16,female,white,10,72
79586,66.6,male,white,11,67
38166,72.94,male,white,12,33
1966,65.13,female,white,18,30
38038,76.02,male,white,12,61
95244,70.14,male,white,14,80
2004,64.18,female,white,12,34
14706,63,female,african-american,15,26
84688,62.96,female,african-american,13,41
73194,70.04,male,african-american,12,39
66746,71.27,male,white,12,37
81512,65.19,female,white,12,66
57158,69.48,male,white,16,79
14746,63.48,female,white,13,48
78012,64.11,female,white,12,26
113308,63.44,female,white,18,44
82624,67.15,male,white,14,34
79536,65.82,male,white,16,40
76750,68.18,female,white,13,31
40160,64.7,female,white,12,26
49712,66.85,female,white,12,24
9542,72.62,male,white,17,27
21078,63.68,female,white,12,71
44570,70.77,male,white,12,73
49702,63.17,female,white,16,35
556428,71.05,male,white,16,52
2026,62.7,female,white,12,55
3212,72.85,male,white,18,29
33800,64.92,female,white,14,67
143152,65.94,male,white,13,86
49708,66.21,female,white,12,85
65610,59,female,white,13,45
111254,69.9,male,white,16,34
127240,71.96,male,white,16,32
113320,64.27,female,white,12,76
160984,65.48,female,white,16,58
318004,69.42,male,white,18,61
111488,69.09,male,white,13,32
2038,65.85,female,white,12,55
78332,68.19,female,white,12,39
1990,64.15,female,white,12,34
2034,63.06,female,white,12,64
111194,73.86,male,white,17,47
120858,72.55,male,white,16,78
95332,67.35,male,white,12,56
17916,64.3,female,hispanic,12,43
470778,66.72,male,white,18,42
95564,69.45,male,white,12,36
22678,63.76,female,white,15,35
11532,61.71,female,white,16,41
1972,65.94,female,white,8,57
73426,69.45,male,white,18,73
127088,67.69,male,white,17,45
95426,71.77,male,white,14,43
1996,63.09,female,white,14,33
46516,63.09,female,white,12,41
49688,68.86,female,white,12,38
84694,63.75,female,white,18,40
27442,71.45,female,white,12,29
78320,63.98,female,african-american,16,31
-24,72.08,male,white,8,24
2026,62.27,female,white,12,29
1978,65.93,female,white,10,42
16364,65.8,male,white,8,71
33780,60.72,female,white,15,29
2034,69.1,female,white,13,23
40200,68.3,female,white,16,36
2000,65.9,female,white,12,27
159042,67.87,male,white,17,38
75104,63.61,female,white,13,30
2032,61,female,white,16,44
127158,65.98,male,african-american,14,38
21088,61.86,female,african-american,13,30
17910,64.86,female,african-american,16,34
349836,65.81,male,white,18,41
130180,72.05,male,hispanic,13,36
75126,62.95,female,white,13,82
2002,63.1,female,white,12,36
66710,69.91,male,white,12,27
14718,62.02,female,white,12,33
79528,71.11,male,white,12,40
95330,69.84,male,white,18,50
46512,64.04,female,white,11,55
21092,63.34,female,white,12,39
46532,65.03,female,white,12,50
136922,70.81,male,white,12,31
81500,61.87,female,white,15,37
127068,73.05,male,white,12,70
206628,67.86,male,white,17,44
50880,76.18,male,white,15,36
27432,65.99,female,white,12,75
65592,64.02,female,white,15,43
46518,60.01,female,white,14,76
143276,67.86,male,white,12,78
27426,61.18,female,white,11,76
38132,66.13,male,white,12,32
27470,63.02,female,white,14,35
52880,62.85,female,white,15,36
19160,73.86,male,white,15,77
60348,69.92,male,white,12,36
68792,68.26,female,white,13,43
138740,69.64,female,white,18,50
111328,69.15,male,white,15,25
25494,69.42,male,white,10,79
68770,62.74,female,white,14,45
20466,65.15,female,white,12,34
54166,68.85,male,white,12,50
76174,68.15,male,white,14,53
17872,62.14,female,white,11,75
36980,65.91,female,white,12,27
31842,65.15,male,white,13,31
127216,70.11,male,white,14,40
1988,66,female,african-american,12,41
127210,70.06,male,white,12,51
78328,66.36,female,african-american,14,33
76374,68.23,male,white,16,30
63524,67.77,male,white,16,37
190662,69.87,male,white,18,54
36966,65.28,female,white,13,51
17902,63.91,female,white,15,44
87838,64.88,female,white,16,34
282906,77.21,male,white,16,45
127332,70.36,male,white,14,32
49720,64.15,female,white,16,30
5162,63.83,female,white,14,24
1998,62.04,female,white,12,32
71990,64.2,female,white,12,64
40172,63.93,female,white,8,52
71938,63.09,female,white,16,32
129164,57.94,female,african-american,12,60
1988,66,female,white,12,62
129200,62.1,female,white,16,48
1990,60.97,female,white,13,46
113300,63.61,female,hispanic,14,57
24258,64.22,female,white,12,32
46514,61.35,female,white,12,41
49698,64.06,female,white,12,60
1994,66.31,female,african-american,14,35
21074,66.3,female,white,13,38
36982,68.48,female,african-american,12,45
33790,63.71,female,white,13,35
2008,62.42,female,white,12,63
63554,71.11,male,white,14,45
24264,62.1,female,white,12,77
120878,67.95,male,white,9,50
92150,67.96,male,white,9,62
65588,62.48,female,white,10,48
27452,63,female,white,12,61
114360,69.28,male,white,16,55
6792,67.46,female,white,12,48
135532,63.84,female,white,18,33
79412,69.96,male,white,12,26
41340,69.3,male,white,10,24
95456,69.4,male,african-american,11,55
22520,69.05,male,white,12,27
100590,59.96,female,african-american,12,52
49722,66.62,female,african-american,12,46
1974,59.86,female,white,18,45
158898,66.77,male,white,16,53
15804,66.39,male,white,15,24
3910,69.87,female,african-american,12,22
46500,63.89,female,african-american,8,55
129196,59.72,female,asian,18,39
76426,68.14,male,white,18,40
70142,73.49,male,african-american,12,28
63464,71.98,male,white,8,40
65946,63.69,female,white,12,42
38202,66.85,male,white,13,71
132404,66.88,female,white,13,44
41272,70.68,male,african-american,9,54
2034,63.23,female,white,12,29
190850,73.21,male,white,16,35
76170,69.94,male,white,16,29
120762,69.85,male,white,16,40
11562,71.49,female,white,14,31
43332,66.05,female,white,12,34
15786,75.04,male,white,12,25
65604,59.83,female,white,14,41
69790,71.97,male,white,12,32
1980,63.08,female,african-american,16,27
89020,75.11,male,african-american,9,59
71966,59.68,female,white,12,45
95452,72.54,male,african-american,12,48
97376,64.93,female,african-american,12,36
95234,67.12,male,white,16,35
103762,60.77,female,white,12,73
84658,69,female,white,17,47
71950,64.05,female,white,14,38
79326,70.18,male,white,12,37
36962,68.24,female,white,10,28
43318,62.09,female,white,12,57
33826,64.15,female,white,15,46
2004,67.76,female,white,12,28
40136,68.05,female,white,12,49
112,66.18,male,white,13,61
24246,64.22,female,white,11,68
181054,72.92,male,white,14,41
114394,73.38,male,white,16,41
92138,68.71,male,hispanic,14,33
27454,67.87,female,white,13,23
9664,71.34,male,african-american,11,22
1982,63.2,female,white,12,68
65620,66.19,female,white,16,45
1990,65.81,female,white,12,40
104914,66.22,male,white,12,61
49730,68.26,female,hispanic,12,72
50840,69.66,male,white,12,37
17900,62.17,female,white,12,82
27468,65.98,female,white,14,47
103750,63,female,african-american,16,38
46206,74.97,male,white,12,28
43352,66.86,female,white,12,33
2016,62.22,female,white,10,24
24268,63.24,female,white,9,29
161006,65.44,female,african-american,18,69
40150,68.84,female,african-american,12,39
60564,71.33,male,white,14,65
30648,62.23,female,white,12,59
65588,64.92,female,african-american,12,39
174786,72.34,male,hispanic,18,39
33780,65.12,female,white,12,44
43322,62.9,female,white,12,23
65620,64.34,female,white,13,35
95418,71.9,male,white,12,30
40150,64.39,female,white,12,38
84694,70.17,female,white,13,37
41766,65.09,female,white,12,31
27414,64.38,female,white,12,33
49704,64.12,female,hispanic,16,36
206548,67.05,male,white,14,29
79460,73.13,male,white,10,25
25472,73.06,male,hispanic,14,25
47754,65.08,male,asian,14,25
40158,64.49,female,white,16,44
113286,66.91,female,african-american,13,41
127116,66.58,male,white,16,35
92230,74.49,male,white,12,26
49712,62.84,female,white,13,35
63638,74.17,male,white,12,40
9414,73.86,male,african-american,6,66
5192,63,female,african-american,16,23
27422,62.37,female,african-american,11,27
17926,61.96,female,white,12,22
81504,66.75,female,white,16,31
63720,69.1,male,white,12,61
95438,73.1,male,white,12,38
40168,63.03,female,white,12,39
2020,60.19,female,white,12,38
33790,67.24,female,white,14,36
50910,68.73,male,white,12,23
143100,70.95,male,white,12,33
127134,72.35,male,white,14,58
1982,62.95,female,white,12,66
79378,70.55,male,white,14,85
62408,63.75,female,white,14,56
57940,64.52,female,white,16,34
22104,68.13,male,white,12,71
95394,74.14,male,white,12,36
59240,62.11,female,white,11,51
81486,64.81,female,white,16,51
2002,66.42,female,white,14,59
21072,59.93,female,white,5,66
222712,68.96,male,white,18,46
49710,61.2,female,asian,16,38
81506,65.17,female,white,17,37
113340,65.88,female,white,16,32
57230,70.22,male,white,16,28
89138,72.07,male,african-american,15,34
49720,63.94,female,hispanic,11,25
69914,71.36,male,hispanic,14,32
2014,62.74,female,white,12,33
111388,72.86,male,white,12,34
59250,64.52,female,african-american,15,50
111522,67.86,male,white,14,41
54136,63.7,female,african-american,12,25
69842,66.03,male,african-american,16,41
97394,67.18,female,white,16,62
56064,64.07,female,hispanic,12,31
81490,64.09,female,african-american,14,40
33800,61.94,female,white,12,55
127358,69.43,male,white,12,41
41718,62.89,female,white,12,67
111246,71.29,male,white,15,49
1970,61.15,female,hispanic,16,27
333962,75.23,male,white,12,53
318048,70.35,male,white,18,44
66764,68.61,male,white,12,55
33798,63.93,female,white,14,60
104910,72.05,male,white,12,30
82708,68.64,male,white,18,29
192796,62.95,female,white,10,82
57250,71.44,male,white,16,49
49686,58.97,female,white,8,65
16064,68.31,male,white,13,24
190742,76.73,male,white,17,46
40158,67.96,female,white,14,73
89220,70.28,male,african-american,18,42
133574,69.29,male,white,18,47
8388,63.43,female,white,12,37
63710,73.14,male,african-american,18,37
89200,66.41,male,asian,15,44
31996,72.1,male,african-american,17,66
140,65.97,male,white,16,69
98730,72.29,male,african-american,12,35
56028,69.15,female,african-american,13,41
52856,67.11,female,white,12,43
113290,65.88,female,white,15,42
11550,67.13,female,white,12,30
52886,68.29,female,white,18,43
113318,64.77,female,african-american,15,46
87856,62.55,female,african-american,17,37
79434,68.99,male,white,17,33
2026,62.04,female,white,14,82
127098,70.38,male,white,16,45
145120,66.23,female,white,16,47
44450,65.96,male,white,12,27
81478,66.04,female,white,14,41
127260,71.66,male,white,12,46
108194,68.61,male,white,12,39
127126,65.94,male,white,12,38
111404,69.1,male,white,14,32
40158,59.9,female,hispanic,12,55
97422,64.89,female,white,17,47
75124,61.81,female,white,12,44
8340,66.73,female,white,12,34
63846,67.11,male,white,14,29
33822,68.29,female,african-american,9,66
1994,64.96,female,african-american,6,71
192808,65.97,female,african-american,16,47
38102,74.3,male,african-american,16,45
81490,65.19,female,white,18,65
71932,62.73,female,african-american,14,77
1998,61.64,female,white,12,42
25576,67.82,male,white,17,29
8390,65.65,female,white,16,25
61156,64.93,female,white,16,30
65596,62.44,female,white,14,24
317958,72.74,male,white,18,41
161016,61.91,female,white,15,44
85812,69.7,male,white,12,46
5220,57.34,female,african-american,12,62
57128,67.72,male,white,12,24
56052,66.98,female,white,14,27
33774,64.44,female,white,12,78
44414,69.86,male,white,14,39
22984,72.53,male,white,14,70
2048,62.99,female,asian,8,56
106930,63.3,female,white,17,43
73158,65.62,male,white,12,38
33778,64.78,female,white,12,45
69878,61.12,male,white,12,28
43320,60.56,female,hispanic,12,23
106920,66.74,female,white,12,35
114300,72.79,male,white,12,40
33798,71.17,female,african-american,14,36
21096,64.19,female,white,12,64
40180,67.44,female,white,12,47
33802,61.76,female,white,11,51
68802,67.26,female,white,12,49
82728,69.02,male,white,12,36
71984,65.97,female,african-american,12,54
75142,65.72,female,african-american,15,58
63766,66.22,male,white,15,28
33820,65.99,female,white,13,42
49648,63.89,female,white,12,75
22416,71.87,male,african-american,14,28
49718,63.83,female,white,12,42
1974,64.33,female,white,12,64
84680,64.83,female,white,16,38
31922,71.79,male,white,11,35
1966,63.12,female,white,8,61
9508,71.2,male,white,14,24
87828,63.72,female,hispanic,17,45
91044,64,female,white,17,29
49696,66.95,female,white,12,31
174946,75.04,male,white,18,34
65646,65.68,female,hispanic,17,30
29050,67.11,female,white,12,48
2000,68.09,female,white,12,62
95366,71.41,male,white,16,34
2004,61.88,female,white,12,70
65602,67.96,female,white,12,35
69896,69.77,male,white,6,79
79646,67.17,male,white,16,30
1954,63.77,female,white,16,66
9516,70.99,male,white,8,26
52876,62.96,female,white,12,53
2026,64.14,female,white,12,61
33758,60.61,female,african-american,12,43
49710,65.34,female,african-american,12,32
89028,66.96,male,white,12,50
100028,65.18,male,white,14,39
301936,66.3,male,white,18,56
120824,66.64,male,white,12,44
95322,73.89,male,white,12,45
114112,73.95,male,white,16,46
40192,66.07,female,white,13,26
33818,69.12,female,white,16,29
145088,66.05,female,white,18,48
127162,74.27,male,white,16,60
68586,71.96,male,white,12,31
44300,66.26,male,white,12,66
120984,67.04,male,asian,17,58
5164,64.79,female,white,12,22
44482,65.29,male,white,12,77
49674,64.98,female,white,12,35
2034,62.58,female,hispanic,12,67
78336,68.21,female,white,13,46
16324,64.15,female,white,16,27
59256,63.68,female,white,16,67
46522,63.15,female,white,12,24
33806,69.06,female,white,12,32
32216,66.91,female,white,12,36
37034,63.1,female,white,15,70
54202,66.96,male,white,12,71
21118,60.23,female,white,13,32
9944,62.24,female,white,11,62
127012,71.88,male,white,16,45
1994,67.74,female,white,14,39
79412,66.88,male,white,16,43
91046,66,female,african-american,15,64
106942,66.07,female,african-american,12,49
14742,59.64,female,white,8,68
1964,67.19,female,white,12,33
13058,65.47,male,white,16,34
81504,69.11,female,white,12,86
101728,72.15,male,white,12,32
43348,63.41,female,white,8,62
25396,63.81,male,hispanic,8,31
1976,61.66,female,asian,17,30
1986,64.93,female,white,13,60
56072,64.08,female,white,12,42
49696,67.41,female,white,12,81
57180,65.71,male,white,13,36
38238,73.4,male,white,12,28
22124,73.87,male,white,7,53
2014,65.63,female,white,12,28
5820,65.08,female,white,14,26
-56,72.29,male,white,12,22
2000,64.09,female,white,12,22
44658,62.91,male,white,12,25
56058,62.85,female,white,12,44
95530,66.04,male,white,12,46
134,72.38,male,white,10,67
79358,70.12,male,white,12,57
71958,66.07,female,hispanic,12,37
49714,62.92,female,white,12,25
85926,72.94,male,white,12,95
65592,63.26,female,white,16,30
30584,68.74,female,white,11,38
1990,66.3,female,white,14,28
54112,72.35,male,white,12,34
7688,67.86,female,white,12,50
59240,64.07,female,white,12,50
81486,63.38,female,white,18,46
63690,70.34,male,african-american,16,45
240480,63.8,female,white,15,44
13112,66.3,female,white,12,44
116456,60.76,female,white,12,75
95372,72.2,male,white,12,29
81468,64.77,female,white,13,82
5188,63.79,female,white,14,30
190914,67.82,male,white,12,70
111292,73.86,male,white,13,80
28428,67.14,male,white,13,37
111424,70.13,male,white,9,88
36976,66.21,female,white,10,62
38262,70.93,male,white,12,56
95450,70.96,male,white,12,47
60504,71.1,male,african-american,7,61
28352,73.37,male,white,9,65
95560,75.01,male,white,16,33
1976,62.18,female,white,12,37
28600,71.72,male,white,12,36
49720,65.36,female,hispanic,16,34
27426,64.8,female,african-american,12,35
33770,65.91,female,white,10,79
104998,72.14,male,white,12,41
40192,59.98,female,hispanic,12,32
59248,64.12,female,white,15,41
97398,65,female,white,13,65
41770,64.94,female,white,12,36
33786,62.1,female,african-american,12,40
27246,67.76,male,african-american,13,75
66714,72.91,male,african-american,14,50
2006,62.98,female,white,12,33
68796,63.58,female,white,12,81
2000,65.81,female,white,13,28
68778,67.92,female,white,17,29
2008,63.1,female,white,13,43
17902,65.83,female,white,12,56
71956,70.85,female,white,17,40
95492,72.99,male,white,14,30
2020,64.17,female,white,12,32
393138,61.32,female,white,14,62
27442,62.68,female,white,9,49
2024,63.12,female,white,9,58
1990,61.78,female,white,8,60
8362,64.29,female,white,9,29
26160,67.15,female,white,6,66
2004,66.59,female,white,12,22
1984,60.73,female,white,18,49
33816,63.28,female,white,12,29
111274,73.11,male,white,12,52
49706,66.06,female,white,16,61
14736,70.2,female,white,12,26
51000,68.08,male,white,8,28
2628,66.84,female,white,12,37
73246,74.3,male,white,16,29
52852,64.28,female,white,16,31
1964,61.11,female,white,12,31
1994,66.34,female,white,12,56
21122,59.71,female,white,12,53
3880,59.32,female,white,9,50
1992,62.15,female,african-american,16,40
1992,61.78,female,african-american,14,65
2008,61.56,female,white,12,29
88894,74.83,male,asian,16,38
14744,65.92,female,white,8,70
47816,64.37,male,white,12,39
47596,71.15,male,white,12,29
1998,60.96,female,white,10,39
81516,63.02,female,white,12,34
49694,67.2,female,white,12,30
127096,69.24,male,white,11,48
95414,69.64,male,white,11,55
17920,66.11,female,white,12,33
111292,73.98,male,white,14,38
52894,65.03,female,white,14,35
91020,63.49,female,white,16,44
63502,68.1,male,white,15,46
66694,66.19,male,white,13,34
54098,69.33,male,african-american,12,46
78336,59.75,female,white,13,54
81486,60.61,female,white,12,79
127132,74.98,male,white,12,50
1998,63.01,female,hispanic,9,27
-198,69.12,male,white,13,24
1986,66.14,female,white,16,67
27438,63.71,female,white,13,23
62430,63.03,female,hispanic,15,49
145080,66.94,female,white,16,73
15694,64.33,male,african-american,17,37
-2,72.17,male,white,14,25
78332,62.96,female,african-american,14,44
17880,67.04,female,white,14,23
105040,66.08,male,white,16,38
78296,64.56,female,white,14,28
21048,63.36,female,white,13,27
288172,65.88,female,white,14,59
1960,64.16,female,white,16,49
